"editid","class","annotators","totalannotators"
366,"regular",3,3
368,"regular",3,3
369,"regular",3,3
370,"regular",3,3
372,"regular",3,3
373,"regular",3,3
374,"regular",3,3
379,"regular",3,3
380,"regular",11,18
381,"regular",3,3
382,"regular",3,3
383,"regular",3,3
385,"regular",3,3
387,"regular",3,3
388,"regular",3,3
393,"regular",3,3
395,"regular",3,3
397,"regular",3,3
398,"regular",3,3
400,"regular",7,10
401,"regular",3,3
403,"regular",4,4
404,"regular",4,4
405,"regular",4,4
406,"regular",4,4
408,"regular",3,3
410,"regular",3,3
411,"regular",3,3
412,"regular",3,3
413,"regular",3,3
414,"regular",3,3
415,"regular",13,18
416,"regular",5,5
417,"regular",4,4
421,"regular",4,4
422,"regular",7,10
423,"regular",4,4
424,"regular",4,4
425,"regular",6,7
426,"vandalism",6,7
428,"vandalism",17,17
429,"regular",4,4
435,"regular",9,12
436,"regular",3,3
437,"regular",3,3
438,"regular",3,3
440,"regular",3,3
441,"regular",3,3
443,"regular",6,6
449,"vandalism",11,11
451,"regular",3,3
452,"regular",3,3
453,"regular",5,6
455,"regular",3,3
457,"regular",3,3
458,"regular",3,3
463,"vandalism",8,11
464,"vandalism",12,16
466,"regular",4,4
467,"regular",4,4
468,"regular",4,4
469,"regular",4,4
470,"regular",6,7
472,"regular",4,4
473,"regular",4,4
478,"regular",4,4
479,"regular",4,4
480,"regular",4,4
482,"regular",4,4
483,"regular",4,4
484,"regular",4,4
485,"regular",6,7
486,"regular",4,4
487,"regular",4,4
491,"regular",4,4
492,"vandalism",12,12
493,"regular",4,4
494,"regular",4,4
495,"regular",4,4
497,"regular",4,4
498,"regular",4,4
500,"regular",4,4
501,"regular",5,5
502,"regular",4,5
503,"regular",4,5
504,"regular",4,4
506,"regular",4,4
507,"regular",4,4
508,"regular",4,4
509,"regular",4,4
510,"vandalism",5,7
512,"regular",4,4
513,"regular",4,4
514,"regular",4,4
519,"regular",3,3
520,"regular",3,3
521,"regular",3,3
522,"regular",7,9
523,"vandalism",11,18
526,"regular",3,3
527,"regular",5,6
528,"regular",3,3
533,"regular",3,3
534,"regular",3,3
536,"regular",15,22
538,"regular",3,3
539,"regular",3,3
540,"regular",3,3
541,"regular",3,3
542,"regular",3,3
547,"regular",7,8
548,"regular",7,8
549,"regular",8,11
550,"regular",5,5
551,"regular",5,5
552,"regular",5,5
553,"regular",5,5
556,"regular",5,5
557,"regular",5,5
558,"regular",5,5
559,"regular",5,5
560,"regular",5,6
561,"regular",3,3
562,"regular",3,3
564,"regular",3,3
565,"regular",3,3
566,"vandalism",12,12
567,"regular",3,3
568,"regular",5,6
570,"regular",3,3
575,"regular",3,3
576,"regular",3,3
578,"regular",3,3
579,"regular",3,3
580,"regular",3,3
582,"vandalism",9,18
583,"regular",3,3
584,"regular",3,3
589,"regular",3,3
591,"regular",3,3
592,"regular",5,6
593,"regular",3,3
595,"regular",3,3
596,"regular",3,3
598,"regular",3,3
603,"regular",3,3
604,"regular",3,3
605,"regular",3,3
608,"regular",3,3
609,"regular",3,3
610,"regular",3,3
611,"regular",3,3
613,"regular",4,4
618,"regular",5,5
619,"regular",5,5
620,"regular",7,10
621,"regular",5,5
622,"regular",5,5
623,"regular",5,5
624,"regular",5,5
626,"regular",5,5
627,"regular",4,4
628,"regular",4,4
629,"regular",4,4
630,"regular",3,4
631,"regular",3,3
632,"regular",3,3
633,"regular",3,3
634,"regular",3,3
636,"regular",9,17
637,"regular",3,3
638,"regular",3,3
640,"regular",3,3
645,"regular",10,18
646,"regular",3,3
647,"regular",3,3
648,"regular",3,3
649,"regular",3,3
651,"regular",3,3
652,"regular",3,3
654,"regular",6,6
656,"regular",4,4
657,"regular",4,4
658,"regular",4,4
659,"regular",6,6
661,"regular",3,3
662,"regular",3,3
663,"regular",3,3
664,"regular",3,3
665,"vandalism",12,12
666,"regular",5,5
667,"regular",3,3
669,"regular",4,4
674,"regular",4,4
675,"regular",4,4
676,"regular",6,7
677,"regular",5,7
679,"regular",4,4
680,"regular",13,19
681,"regular",4,4
682,"regular",5,6
687,"regular",3,3
688,"vandalism",5,6
691,"regular",5,6
692,"regular",6,6
693,"regular",3,3
694,"regular",7,9
695,"regular",3,3
696,"regular",3,3
697,"regular",4,4
698,"regular",3,4
699,"regular",4,4
700,"regular",4,4
701,"vandalism",10,20
702,"regular",4,4
703,"regular",4,4
704,"regular",4,4
705,"regular",8,10
706,"vandalism",6,7
708,"regular",6,7
710,"regular",4,4
711,"regular",4,4
715,"regular",5,5
716,"regular",5,5
717,"regular",5,5
718,"regular",5,5
719,"regular",5,5
721,"regular",4,5
722,"regular",5,5
724,"regular",5,5
729,"regular",3,3
731,"regular",3,3
732,"regular",5,6
733,"regular",3,3
734,"regular",3,3
736,"regular",3,3
737,"regular",3,3
743,"regular",5,6
744,"regular",3,3
745,"regular",3,3
746,"regular",3,3
747,"vandalism",13,13
749,"regular",3,3
750,"regular",3,3
752,"vandalism",11,12
757,"regular",5,5
758,"regular",5,5
760,"regular",5,5
762,"regular",5,5
763,"regular",5,5
764,"regular",5,5
765,"regular",5,5
766,"vandalism",6,8
771,"vandalism",12,12
772,"regular",3,3
773,"regular",5,6
775,"regular",5,6
776,"regular",11,18
778,"regular",3,3
779,"regular",5,6
780,"regular",7,9
781,"regular",5,7
782,"regular",3,4
783,"regular",3,4
786,"regular",3,3
787,"regular",3,3
788,"regular",3,3
790,"regular",3,3
791,"regular",3,3
793,"regular",3,3
794,"regular",3,3
799,"regular",4,4
800,"regular",4,4
801,"regular",4,4
802,"regular",4,4
803,"regular",4,4
804,"regular",4,4
805,"regular",4,4
806,"regular",4,4
813,"regular",3,3
814,"regular",3,3
815,"regular",7,9
817,"regular",9,17
818,"regular",5,6
820,"regular",3,3
821,"regular",3,3
822,"regular",6,6
823,"regular",6,6
824,"vandalism",8,8
825,"regular",4,4
826,"vandalism",6,7
827,"regular",3,3
828,"regular",3,3
829,"regular",3,3
830,"regular",3,3
831,"regular",3,3
832,"regular",3,3
833,"regular",3,3
836,"regular",3,3
837,"regular",4,4
838,"regular",5,7
839,"vandalism",6,7
840,"regular",4,4
841,"regular",4,4
844,"regular",6,7
845,"regular",4,4
846,"regular",4,4
847,"regular",4,4
848,"regular",4,4
849,"regular",4,4
850,"regular",4,4
851,"regular",5,5
855,"regular",3,3
856,"regular",3,3
857,"regular",6,6
858,"regular",3,3
859,"regular",3,3
861,"regular",3,3
862,"regular",3,3
863,"regular",3,3
865,"regular",4,4
866,"regular",5,5
867,"regular",5,6
868,"regular",4,4
869,"regular",7,9
870,"regular",3,3
871,"regular",3,3
872,"regular",3,3
873,"regular",3,3
876,"regular",5,6
877,"regular",3,3
878,"regular",3,3
883,"regular",6,6
885,"regular",3,3
886,"regular",3,3
887,"regular",3,3
888,"regular",3,3
889,"regular",3,3
890,"regular",5,6
891,"regular",3,3
897,"regular",3,3
898,"regular",3,3
899,"regular",6,6
900,"regular",3,3
901,"regular",3,3
902,"regular",3,3
905,"vandalism",9,17
906,"regular",3,3
911,"regular",12,17
912,"regular",4,4
914,"regular",6,7
916,"regular",4,4
917,"regular",4,4
918,"regular",4,4
919,"regular",4,4
920,"regular",4,4
925,"regular",4,4
926,"regular",4,4
927,"regular",4,4
929,"regular",4,4
930,"regular",4,4
931,"regular",4,4
932,"regular",4,4
933,"regular",4,4
939,"regular",3,3
940,"regular",3,3
941,"regular",3,3
943,"regular",3,3
944,"regular",3,3
945,"regular",3,3
946,"regular",3,3
948,"regular",6,6
953,"regular",5,5
954,"vandalism",8,9
955,"regular",5,5
956,"regular",5,5
958,"regular",5,5
959,"regular",5,5
960,"regular",5,5
968,"regular",3,3
969,"regular",3,3
971,"regular",3,3
972,"regular",3,3
973,"regular",3,3
974,"regular",3,3
975,"regular",3,3
976,"regular",3,3
981,"regular",3,3
982,"regular",3,3
983,"regular",3,3
985,"regular",6,6
986,"regular",3,3
987,"regular",3,3
988,"regular",3,3
990,"regular",3,3
995,"regular",3,3
996,"regular",3,3
998,"vandalism",12,12
999,"regular",3,3
1001,"regular",3,3
1002,"regular",5,6
1003,"regular",3,3
1004,"regular",3,3
1009,"regular",4,4
1010,"regular",4,4
1011,"regular",4,4
1013,"regular",4,4
1014,"vandalism",9,13
1015,"regular",4,4
1017,"regular",4,4
1018,"regular",4,4
1019,"regular",4,4
1020,"regular",4,4
1021,"regular",3,4
1023,"regular",4,4
1024,"regular",6,7
1026,"regular",4,4
1027,"regular",4,4
1028,"regular",4,4
1029,"regular",4,4
1031,"regular",4,4
1032,"regular",4,4
1037,"regular",3,3
1039,"regular",3,3
1040,"regular",10,17
1041,"regular",3,3
1043,"vandalism",15,16
1044,"regular",3,3
1045,"regular",3,3
1046,"vandalism",12,13
1051,"regular",3,3
1052,"regular",3,3
1053,"regular",6,7
1055,"regular",3,3
1056,"regular",3,3
1057,"regular",3,3
1058,"regular",3,3
1060,"regular",3,3
1065,"regular",4,4
1066,"regular",4,4
1068,"regular",4,4
1069,"vandalism",12,13
1070,"regular",4,4
1071,"regular",4,4
1073,"regular",5,7
1074,"regular",4,4
1079,"regular",3,3
1080,"regular",3,3
1081,"regular",3,3
1082,"regular",3,3
1084,"regular",3,3
1085,"regular",3,3
1086,"regular",5,6
1087,"regular",3,3
1093,"regular",3,3
1094,"regular",3,3
1097,"regular",3,3
1098,"regular",3,3
1099,"regular",3,3
1100,"regular",3,3
1101,"regular",3,3
1102,"regular",3,3
1108,"vandalism",7,8
1109,"regular",5,5
1112,"regular",5,5
1113,"regular",5,5
1114,"regular",5,5
1115,"regular",5,5
1116,"regular",5,5
1117,"regular",9,13
1118,"regular",6,6
1119,"regular",4,5
1120,"regular",5,5
1123,"regular",3,3
1124,"regular",3,3
1126,"regular",3,3
1127,"vandalism",11,16
1128,"regular",3,3
1135,"regular",3,3
1136,"regular",3,3
1138,"regular",3,3
1139,"vandalism",15,15
1140,"regular",3,3
1142,"regular",3,3
1143,"regular",3,3
1144,"regular",3,3
1145,"regular",4,4
1146,"regular",3,4
1147,"regular",4,4
1148,"regular",3,4
1149,"regular",3,3
1150,"regular",3,3
1153,"regular",3,3
1154,"regular",5,6
1155,"regular",5,6
1156,"regular",3,3
1157,"regular",3,3
1158,"regular",3,3
1163,"regular",3,3
1164,"regular",3,3
1165,"regular",3,3
1166,"regular",3,3
1168,"regular",3,3
1169,"regular",3,3
1170,"regular",5,6
1172,"regular",3,3
1177,"regular",3,3
1178,"regular",3,3
1179,"regular",3,3
1180,"regular",3,3
1182,"regular",3,3
1183,"regular",3,3
1185,"vandalism",10,12
1191,"regular",3,3
1192,"regular",3,3
1193,"regular",3,3
1194,"regular",3,3
1195,"regular",3,3
1196,"regular",3,3
1199,"regular",3,3
1205,"regular",3,3
1206,"regular",3,3
1208,"vandalism",7,9
1209,"regular",3,3
1211,"vandalism",7,9
1212,"regular",3,3
1213,"regular",3,3
1214,"vandalism",7,9
1219,"regular",3,3
1221,"regular",3,3
1222,"regular",5,5
1223,"regular",3,3
1225,"regular",3,3
1226,"regular",3,3
1227,"regular",3,3
1228,"regular",3,3
1233,"regular",3,3
1235,"regular",5,6
1236,"regular",3,3
1238,"regular",3,3
1239,"regular",3,3
1240,"vandalism",10,12
1241,"regular",3,3
1242,"regular",3,3
1247,"regular",3,3
1248,"regular",3,3
1249,"regular",3,3
1250,"regular",3,3
1253,"regular",3,3
1254,"regular",5,6
1255,"regular",3,3
1256,"vandalism",11,11
1257,"regular",3,4
1258,"regular",4,4
1259,"regular",4,4
1260,"regular",3,4
1263,"regular",5,5
1264,"regular",5,5
1265,"regular",5,5
1266,"regular",7,8
1267,"regular",5,5
1268,"regular",5,5
1269,"regular",5,5
1270,"regular",5,5
1271,"regular",4,4
1272,"regular",4,4
1273,"regular",4,4
1274,"regular",3,4
1275,"regular",3,3
1276,"regular",3,3
1277,"regular",3,3
1278,"regular",3,3
1280,"regular",3,3
1281,"regular",3,3
1282,"regular",3,3
1283,"regular",3,3
1289,"regular",3,3
1290,"vandalism",12,12
1291,"regular",3,3
1292,"regular",3,3
1293,"regular",3,3
1294,"regular",3,3
1296,"regular",3,3
1299,"regular",4,4
1303,"regular",4,4
1305,"regular",4,4
1306,"regular",4,4
1307,"regular",4,4
1308,"regular",4,4
1309,"regular",4,4
1310,"regular",7,10
1312,"regular",4,4
1321,"vandalism",11,18
1322,"regular",3,3
1323,"vandalism",7,8
1324,"regular",3,3
1326,"vandalism",12,12
1327,"regular",4,4
1328,"regular",4,4
1329,"regular",5,5
1330,"regular",4,4
1331,"regular",4,4
1332,"regular",4,4
1333,"regular",4,4
1334,"regular",4,4
1335,"regular",6,7
1337,"vandalism",13,13
1339,"regular",4,4
1340,"regular",4,4
1341,"regular",5,5
1342,"regular",4,4
1343,"regular",4,4
1344,"regular",3,4
1345,"regular",4,4
1347,"regular",4,4
1348,"regular",4,4
1349,"regular",4,4
1350,"regular",4,4
1351,"regular",4,4
1354,"regular",4,4
1359,"regular",3,3
1360,"regular",3,3
1361,"regular",3,3
1362,"regular",3,3
1364,"regular",3,3
1365,"regular",3,3
1366,"regular",5,6
1368,"regular",5,6
1373,"regular",4,4
1375,"vandalism",6,7
1376,"regular",4,4
1377,"regular",4,4
1379,"regular",4,4
1380,"regular",4,4
1381,"regular",4,4
1382,"regular",4,4
1383,"vandalism",5,7
1384,"regular",4,4
1385,"regular",4,4
1386,"vandalism",7,7
1388,"vandalism",8,18
1389,"regular",3,3
1390,"vandalism",11,15
1391,"regular",3,3
1392,"regular",11,15
1393,"regular",3,3
1394,"regular",3,3
1396,"regular",3,3
1401,"regular",4,4
1402,"vandalism",6,7
1403,"regular",4,4
1404,"regular",4,4
1405,"regular",4,4
1407,"regular",4,4
1409,"vandalism",6,7
1410,"regular",9,13
1415,"regular",3,3
1416,"regular",3,3
1417,"regular",3,3
1420,"regular",3,3
1421,"regular",3,3
1422,"regular",6,6
1423,"regular",3,3
1430,"regular",4,4
1431,"regular",4,4
1432,"regular",4,4
1434,"regular",10,20
1435,"regular",4,4
1436,"regular",4,4
1437,"regular",4,4
1438,"regular",4,4
1439,"regular",5,5
1440,"regular",4,4
1441,"regular",5,5
1442,"vandalism",6,7
1445,"regular",4,4
1446,"regular",4,4
1447,"regular",4,4
1448,"regular",4,4
1449,"regular",4,4
1450,"regular",4,4
1451,"regular",4,4
1452,"regular",4,4
1458,"regular",4,4
1459,"regular",4,4
1460,"regular",4,4
1461,"regular",4,4
1462,"regular",4,4
1463,"regular",4,4
1464,"regular",4,4
1465,"regular",4,4
1471,"regular",5,5
1474,"regular",3,3
1475,"regular",7,9
1476,"regular",3,3
1477,"regular",3,3
1478,"regular",3,3
1479,"regular",3,3
1480,"regular",3,3
1486,"regular",3,3
1487,"regular",3,3
1488,"regular",3,3
1489,"regular",3,3
1490,"regular",3,3
1492,"regular",3,3
1493,"regular",3,3
1494,"regular",3,3
1500,"regular",3,3
1501,"regular",3,3
1502,"regular",3,3
1504,"regular",3,3
1505,"regular",6,6
1506,"regular",3,3
1507,"regular",3,3
1509,"regular",4,4
1510,"regular",4,4
1511,"regular",4,4
1512,"regular",4,4
1513,"regular",3,3
1514,"regular",3,3
1515,"regular",3,3
1517,"regular",5,5
1518,"regular",3,3
1520,"regular",3,3
1521,"regular",3,3
1522,"regular",3,3
1527,"regular",5,5
1528,"regular",5,5
1529,"vandalism",17,17
1530,"regular",5,5
1531,"regular",5,5
1533,"regular",5,5
1535,"regular",5,5
1536,"regular",5,5
1537,"vandalism",6,7
1538,"vandalism",6,13
1539,"regular",4,4
1540,"regular",4,4
1541,"regular",3,3
1542,"regular",3,3
1543,"regular",3,3
1544,"regular",7,7
1545,"regular",3,3
1546,"regular",3,3
1547,"regular",3,3
1549,"regular",3,3
1555,"regular",5,6
1556,"regular",3,3
1557,"regular",3,3
1558,"regular",3,3
1559,"regular",3,3
1561,"regular",3,3
1562,"regular",3,3
1563,"regular",3,3
1565,"regular",7,7
1566,"regular",3,4
1567,"vandalism",7,7
1568,"regular",4,4
1569,"regular",3,3
1570,"regular",3,3
1571,"regular",3,3
1572,"regular",3,3
1573,"regular",3,3
1574,"regular",3,3
1575,"vandalism",11,18
1576,"regular",3,3
1579,"regular",5,5
1580,"regular",5,5
1581,"regular",4,4
1582,"regular",4,4
1585,"vandalism",6,7
1586,"regular",3,3
1587,"regular",3,3
1588,"regular",6,6
1589,"regular",3,3
1590,"regular",3,3
1591,"regular",3,3
1592,"vandalism",13,13
1597,"regular",3,3
1598,"vandalism",7,9
1599,"regular",3,3
1600,"regular",5,6
1603,"regular",5,6
1604,"regular",3,3
1605,"regular",3,3
1606,"regular",3,3
1611,"vandalism",12,12
1612,"regular",3,3
1614,"regular",3,3
1615,"regular",3,3
1616,"regular",3,3
1617,"regular",3,3
1619,"regular",6,6
1620,"regular",3,3
1621,"vandalism",7,7
1625,"regular",3,3
1626,"regular",7,9
1627,"regular",3,3
1629,"regular",3,3
1630,"regular",3,3
1631,"regular",5,6
1633,"regular",7,9
1634,"regular",5,6
1639,"regular",6,7
1640,"regular",6,7
1641,"regular",6,7
1642,"regular",4,4
1643,"regular",4,4
1644,"regular",4,4
1647,"vandalism",13,13
1649,"regular",4,4
1650,"regular",3,3
1651,"regular",3,4
1652,"regular",4,4
1653,"regular",6,6
1654,"regular",5,6
1657,"regular",3,3
1658,"regular",3,3
1659,"regular",3,3
1660,"regular",3,3
1661,"regular",3,3
1668,"regular",5,6
1669,"regular",3,3
1671,"vandalism",12,12
1672,"regular",3,3
1673,"regular",3,3
1674,"regular",3,3
1675,"regular",3,3
1676,"vandalism",13,13
1677,"regular",4,4
1678,"regular",3,4
1681,"regular",3,3
1682,"regular",3,3
1683,"regular",3,3
1684,"regular",3,3
1687,"regular",3,3
1688,"regular",3,3
1689,"regular",3,3
1690,"regular",3,3
1695,"regular",3,3
1696,"regular",3,3
1697,"regular",3,3
1698,"regular",6,6
1699,"regular",3,3
1701,"regular",3,3
1702,"regular",3,3
1703,"regular",3,3
1705,"regular",3,4
1706,"regular",4,4
1707,"regular",4,4
1708,"regular",3,4
1711,"regular",3,3
1712,"regular",3,3
1713,"regular",3,3
1714,"regular",3,3
1715,"regular",3,3
1716,"vandalism",9,12
1717,"regular",3,3
1718,"regular",3,3
1723,"regular",3,3
1724,"regular",3,3
1725,"regular",3,3
1726,"vandalism",15,17
1728,"regular",3,3
1729,"regular",5,6
1730,"regular",5,6
1731,"regular",9,12
1733,"regular",6,7
1737,"regular",3,3
1738,"regular",3,3
1739,"regular",3,3
1740,"regular",3,3
1741,"regular",3,3
1742,"vandalism",14,15
1743,"regular",3,3
1745,"regular",5,5
1751,"regular",3,3
1752,"regular",3,3
1753,"regular",3,3
1754,"vandalism",12,12
1755,"regular",3,3
1756,"regular",3,3
1757,"regular",3,3
1759,"regular",5,6
1766,"regular",3,3
1767,"regular",3,3
1768,"regular",3,3
1770,"regular",3,3
1771,"regular",3,3
1772,"regular",3,3
1773,"regular",3,3
1774,"regular",3,3
1779,"regular",3,3
1781,"regular",3,3
1782,"vandalism",10,13
1783,"regular",6,6
1784,"regular",3,3
1786,"regular",3,3
1787,"regular",3,3
1788,"regular",3,3
1794,"regular",3,3
1795,"regular",3,3
1796,"regular",3,3
1797,"regular",3,3
1798,"vandalism",12,12
1799,"regular",5,5
1801,"regular",3,3
1802,"regular",3,3
1807,"regular",3,3
1809,"regular",3,3
1810,"regular",3,3
1812,"regular",3,3
1813,"vandalism",13,13
1814,"vandalism",9,12
1815,"regular",3,3
1816,"regular",3,3
1817,"regular",4,4
1818,"regular",4,4
1819,"regular",4,4
1820,"regular",4,4
1821,"regular",3,3
1822,"regular",3,3
1823,"regular",3,3
1824,"regular",3,3
1825,"regular",3,3
1828,"regular",10,19
1829,"regular",3,3
1830,"regular",3,3
1835,"regular",5,6
1837,"regular",3,3
1838,"regular",3,3
1839,"regular",3,3
1840,"regular",3,3
1841,"regular",3,3
1842,"regular",6,6
1843,"vandalism",5,6
1849,"vandalism",13,13
1850,"regular",3,3
1853,"regular",3,3
1854,"regular",3,3
1855,"regular",3,3
1857,"regular",3,3
1863,"regular",3,3
1864,"regular",3,3
1865,"regular",3,3
1867,"regular",3,3
1868,"regular",3,3
1870,"regular",3,3
1871,"regular",3,3
1872,"regular",3,3
1878,"regular",6,6
1879,"regular",5,6
1880,"regular",3,3
1881,"regular",3,3
1883,"regular",3,3
1884,"regular",3,3
1885,"regular",3,3
1891,"regular",3,3
1892,"vandalism",7,9
1893,"regular",3,3
1894,"vandalism",12,12
1895,"regular",5,6
1896,"regular",5,6
1898,"regular",5,6
1899,"vandalism",12,12
1906,"regular",4,4
1907,"regular",6,7
1908,"regular",4,4
1909,"regular",4,4
1910,"regular",6,7
1911,"regular",4,4
1913,"regular",4,4
1914,"regular",5,7
1915,"regular",4,4
1916,"regular",4,4
1917,"regular",3,4
1918,"regular",4,4
1919,"regular",3,3
1920,"regular",3,3
1921,"regular",3,3
1922,"regular",7,9
1923,"regular",3,3
1924,"regular",5,6
1927,"regular",7,9
1928,"regular",8,11
1929,"regular",5,5
1930,"vandalism",7,7
1931,"vandalism",7,7
1932,"regular",4,4
1933,"regular",3,3
1934,"regular",3,3
1935,"regular",3,3
1936,"regular",3,3
1939,"regular",3,3
1940,"regular",3,3
1942,"regular",5,6
1947,"regular",3,3
1948,"vandalism",11,18
1950,"regular",6,6
1951,"regular",3,3
1952,"vandalism",9,12
1953,"regular",3,3
1954,"regular",3,3
1956,"regular",3,3
1957,"regular",4,4
1958,"regular",4,4
1959,"regular",4,4
1960,"regular",4,4
1961,"regular",3,3
1963,"regular",3,3
1964,"regular",3,3
1965,"regular",3,3
1966,"regular",7,9
1967,"regular",3,3
1969,"regular",3,3
1970,"regular",3,3
1975,"regular",4,4
1976,"regular",4,4
1978,"regular",4,4
1979,"regular",4,4
1981,"regular",4,4
1982,"regular",4,4
1983,"regular",4,4
1984,"regular",4,4
1985,"regular",4,4
1986,"vandalism",7,7
1987,"regular",4,4
1988,"vandalism",8,15
1989,"regular",3,3
1990,"regular",3,3
1991,"regular",3,3
1992,"regular",3,3
1993,"regular",3,3
1994,"regular",3,3
1996,"vandalism",12,12
1998,"regular",9,12
2003,"regular",3,3
2004,"regular",3,3
2005,"regular",3,3
2008,"vandalism",12,13
2009,"regular",3,3
2010,"regular",3,3
2011,"regular",3,3
2012,"regular",3,3
2017,"regular",4,4
2018,"regular",4,4
2019,"regular",4,4
2020,"regular",4,4
2022,"regular",4,4
2024,"regular",4,4
2025,"regular",6,7
2026,"regular",4,4
2031,"regular",3,3
2034,"regular",3,3
2036,"regular",6,6
2037,"regular",3,3
2038,"regular",3,3
2039,"regular",10,18
2041,"regular",4,4
2045,"regular",3,3
2046,"regular",5,6
2048,"regular",4,4
2050,"regular",3,3
2051,"regular",3,3
2052,"regular",3,3
2053,"regular",3,3
2054,"regular",3,3
2059,"regular",3,3
2060,"regular",3,3
2061,"regular",3,3
2062,"vandalism",7,9
2063,"regular",3,3
2065,"regular",3,3
2067,"regular",3,3
2068,"regular",5,5
2073,"regular",3,3
