"annotatorid","age","sex","reading","editing","vandalizing","noticing"
64,31,"male","weekly","never","no","less"
65,27,"male","weekly","monthly","no","less"
66,30,"male","weekly","less","no","weekly"
70,39,"male","weekly","never","no","less"
71,25,"male","daily","never","no","less"
72,22,"male","weekly","never","no","never"
74,32,"male","weekly","less","no","weekly"
75,21,"male","weekly","never","no","monthly"
77,21,"male","daily","daily",,"weekly"
78,25,"male","daily","less","no","monthly"
79,22,"male","daily","monthly","yes","monthly"
80,28,"male","weekly","never","no","monthly"
81,37,"female","weekly","never","no","never"
82,20,"male","daily","never","no","less"
83,19,"male","weekly","less","no","monthly"
84,21,"male","daily","less","no","weekly"
86,37,"male","weekly","less","no","monthly"
87,28,"male","daily","never","no","monthly"
88,31,"male","daily","monthly","no","less"
89,52,"male","weekly","less","no","monthly"
90,21,"female","weekly","never","no","less"
93,32,"female","monthly","less","no","less"
94,25,"male","daily","less","no","less"
95,42,"female","weekly","never","no","less"
98,29,"female","weekly","never","no","less"
100,29,"female","weekly","less","no","never"
101,26,"male","daily","less","no","less"
103,32,"female","daily","less","no","less"
104,22,"male","daily","weekly","no","monthly"
106,25,"female","daily","never","no","less"
108,52,"male","daily","less","no","weekly"
109,16,"male","weekly","never","no","monthly"
110,27,"male","daily","weekly","no","weekly"
112,27,"female","daily","weekly","no","weekly"
113,20,"male","daily","weekly","no","weekly"
116,28,"female","weekly","less","no","monthly"
118,29,"female","weekly","never","no","less"
119,28,"male","daily","monthly","no","monthly"
126,21,"male","daily","never","no","never"
127,21,"female","weekly","never","no","less"
128,23,"female","daily","never","no","weekly"
130,31,"female","weekly","weekly","no","weekly"
132,24,"female","daily","less","no","monthly"
133,40,"male","daily","less","no","monthly"
135,30,"male","weekly","monthly","no","monthly"
136,,"male","weekly","less",,"never"
141,18,"male","daily","less","no","monthly"
147,28,"female","daily","never","no","less"
148,18,"male","daily","monthly","no","daily"
149,22,"female","daily","less","no","monthly"
150,20,"female","weekly","less","no","monthly"
152,23,"male","daily","never","no","never"
153,23,"male","weekly","never","no","monthly"
154,49,"female","weekly","never","no","less"
155,53,"male","weekly","never","no","less"
156,20,"male","daily","never","no","monthly"
159,24,"female","weekly","never","no","monthly"
160,24,"male","daily","monthly","no","less"
164,36,"female","daily","less","no","less"
165,29,"male","weekly","never","no","less"
166,29,"female","weekly","never","no","less"
168,33,"female","less","never","no","less"
169,19,"female","weekly","never","no","less"
170,31,"male","weekly","less","no","less"
171,,"male",,,,
172,20,"female","monthly","never","no","less"
173,27,"female","less","never","no","less"
174,20,"male","weekly","less","no","less"
175,29,"female","weekly","never","no","less"
177,48,"male","weekly","never","no","less"
178,23,"male","monthly","never","no","less"
182,24,"female","weekly","less","no","less"
183,18,"male","weekly","less","no","less"
184,30,"male","daily","less","no","weekly"
185,19,"female","monthly","never","no","never"
186,18,"male","daily","never","no","monthly"
189,23,"male","daily","less","no","weekly"
191,19,"male","weekly","never","no","less"
192,20,"male","daily","never","no","less"
194,19,"male","daily","never","no","weekly"
195,33,"male","daily","less","no","less"
197,19,"female","weekly","never","no","less"
198,22,"male","weekly","never","no","less"
199,24,"female","weekly","never","no","less"
200,27,"female","daily","monthly","no","monthly"
203,58,"female","weekly","never","no","less"
209,58,"male","monthly","never","no","never"
210,55,"female","monthly","never","no","less"
212,18,"male","less","never","no","less"
215,18,"male","weekly","never","no","less"
220,28,"male","daily","never","no","weekly"
222,21,"female","weekly","never","no","less"
226,22,"male","weekly","never","no","monthly"
227,19,"male","daily","less","no","less"
228,33,"male","daily","less","no","monthly"
229,23,"male","weekly","never","no","monthly"
230,26,"female","weekly","monthly","no","monthly"
232,33,"female","daily","never","no","less"
234,49,"male","daily","monthly","no","less"
237,67,"female","daily","never","no","never"
238,38,"male","weekly","less","no","monthly"
240,18,"male","weekly","never","no","monthly"
241,18,"male","weekly","never","no","monthly"
242,28,"male","daily","monthly","yes","monthly"
243,,"male","daily","daily","no","never"
244,35,"male","less","never","no","less"
251,20,"female","daily","never","no","less"
253,37,"male","daily","less","no","less"
255,37,"female","daily","less","no","monthly"
258,30,"male","weekly","less","no","monthly"
261,31,"male","daily","monthly","no","monthly"
265,25,"male","daily","less","no","monthly"
266,20,"female","daily","weekly","no","daily"
267,37,"female","less","never","no","never"
270,21,"male","daily","monthly","yes","weekly"
271,33,"female","weekly","less","no","monthly"
272,33,"male","daily","daily","yes","daily"
274,22,"female","daily","weekly","no","weekly"
278,23,"male","weekly","less","no","less"
279,22,"male","monthly","less","no",
280,18,"male","weekly","never","no","less"
281,27,"male","daily","daily","no","daily"
283,38,"male","weekly","never","no","never"
284,26,"male","weekly","never","no","less"
285,19,"male","daily","never","no","monthly"
286,35,"female","weekly","never","no","less"
287,24,"male","daily","less","no","monthly"
288,19,"male","daily","never","no","monthly"
289,19,"female","monthly","never","no","less"
290,40,"female","weekly","less","no","less"
293,28,"male","weekly","never","no","monthly"
294,29,"female","daily","never","no","less"
296,23,,"daily","monthly","no","daily"
298,20,"female","daily","never","no","monthly"
299,21,"male","weekly","less","no","monthly"
300,25,"male","weekly","never","no","less"
301,23,"female","monthly","never","no","less"
304,32,"female","weekly","never","no","less"
306,18,"male","weekly","never","no","never"
308,18,"female","daily","monthly","no","monthly"
309,30,"female","weekly","less","no","weekly"
313,26,"female","daily","never","no","less"
314,34,"male","weekly","monthly","no","less"
315,26,"male","weekly","never","no","less"
316,29,"female","daily","never","no","monthly"
319,20,"male","weekly","less","no","monthly"
320,,,"weekly","never","no","less"
321,22,"male","weekly","monthly","no","monthly"
322,30,"male","daily","daily","no","daily"
323,26,"female","monthly","never","no","less"
324,36,"female","daily",,"no","monthly"
327,23,"male","weekly","never","no","less"
328,25,"male","weekly","never","no","less"
329,24,"male","daily","weekly","no","weekly"
330,40,"male","weekly","less","no","less"
331,18,"male","weekly","never","no","less"
332,18,"male","daily","never","no","less"
335,27,"male","daily","less","no","less"
336,23,"male","daily","monthly","no","weekly"
339,27,"male","daily","never","no","less"
341,30,"male","weekly","never","no","less"
343,23,"female","daily","less","no","less"
345,19,"male","weekly","never","yes","less"
347,25,"female","monthly","never","no","less"
352,25,"female","daily","monthly","no","daily"
353,19,"female","monthly","never","no","less"
355,38,"male","weekly","never","no","weekly"
356,40,"female","weekly","never","no","never"
357,29,"female","daily","less","no","never"
358,18,"male","weekly","less","no","monthly"
359,39,"female","weekly","never","no","less"
360,37,"female","monthly","never","no","less"
361,22,,"weekly","never","no","monthly"
363,58,"female","daily","never","no","less"
365,32,"male","daily","monthly","no","monthly"
366,21,"male","monthly","never","no","less"
368,26,"male","daily","never","no","weekly"
369,42,"male","weekly","less","no","monthly"
370,18,"male","daily","less","no","less"
372,29,"female","weekly","never","no","less"
373,30,"male","weekly","less","no","less"
377,20,"male","less","never","no","less"
378,19,"male","daily","never","no","weekly"
381,23,"male","weekly","less","no","monthly"
382,24,"male","weekly","never","no","less"
383,23,"male","weekly","weekly","no","weekly"
384,44,"male","weekly","never","no","never"
385,30,"male","weekly","never","no","monthly"
386,20,"male","weekly","weekly","no","monthly"
387,20,"female","daily","never","no","less"
392,34,"female","daily","never","no","less"
393,26,"female","less","never","no","less"
395,21,"female","daily","never","yes","never"
398,39,"female","monthly","never","no","never"
400,21,"male","daily","never","no","less"
404,47,"male","weekly","never","no","less"
406,23,"female","weekly","never","no","less"
407,29,"male","daily","less","no","monthly"
408,19,"female","weekly","never","no","monthly"
409,18,"male","daily","less","no","monthly"
410,23,"female","monthly","never","no","less"
411,19,"male","weekly","never","no","less"
412,28,"male","daily","less","no","less"
413,25,"male","daily","less","no","monthly"
414,24,"male","less","never","no","never"
415,28,"female","weekly","never","no","never"
416,34,"female","weekly","never","no","less"
419,24,"male","monthly","never","no","never"
420,32,"male","weekly","never","no","less"
422,29,"male","daily","never","no","less"
423,28,"male","daily","weekly","no","weekly"
424,27,"male","weekly","less","no","monthly"
426,29,"female","daily","monthly","no","weekly"
428,27,"male","weekly","never","no","monthly"
429,56,"female","monthly","never","no","less"
430,27,"male","daily","weekly","no","daily"
431,22,"male","daily","never","no","less"
433,35,"female","daily","never","no","never"
434,40,"female","daily","less","no","weekly"
435,34,"female","weekly","never","no","monthly"
436,19,"female","daily","never","no","less"
438,28,"female","monthly","never","no","less"
439,28,"male","daily","never","no","less"
440,28,"female","daily","daily","yes","daily"
441,18,"male","daily","weekly","no","weekly"
442,20,"male","daily","never","no","less"
444,19,"male","daily","less","no","daily"
448,25,"female","weekly","less","yes","less"
450,35,"female","daily","never","no","weekly"
453,27,"female","daily","weekly","no","weekly"
455,22,"female","weekly","less","no","never"
456,29,"female","daily","never","no","never"
459,29,"male","monthly","never","no","never"
464,24,"female","weekly","less","no","monthly"
467,18,"male","weekly","less","no","less"
469,21,"male","daily","less","no","less"
471,22,"male","daily","less","no","monthly"
473,28,"male","weekly","never","no","less"
475,27,"female","daily","never","no","never"
479,24,"male","daily","monthly","no","weekly"
481,49,"male","daily","never","no","less"
482,26,"male","daily","monthly","no","weekly"
486,21,"male","daily","less","no","monthly"
489,31,"male","weekly","less","no","less"
494,24,"male","daily","weekly","no","daily"
497,34,"male","daily","never","no","less"
501,23,"female","monthly","less","no","less"
504,19,"male","daily","never","no","weekly"
505,31,"female","daily","less","no","monthly"
508,29,"male","daily","less","no","monthly"
514,37,"male","daily","monthly","no","less"
516,22,"male","daily","weekly","no","weekly"
518,24,"male","daily","less","no","never"
520,27,"female","daily","never","no","monthly"
522,22,"female","weekly","less","no","monthly"
524,45,"male","weekly","less","no","less"
525,39,"male","weekly","never","no","less"
526,21,"male","weekly","never","no","less"
527,42,"female","weekly","never","no","never"
528,34,"male","monthly","less","yes","monthly"
531,29,"male","monthly","never","no","less"
532,53,"female","weekly","never","no","less"
534,20,"female","weekly","monthly","no","monthly"
540,,,"weekly","never","no","less"
544,18,"male","daily","less","no","monthly"
547,28,"male","daily","monthly","no","monthly"
548,31,"female","weekly","never","no","less"
549,22,"male","less","never",,"less"
551,22,"male","daily","never","no","never"
552,35,"female","daily","never","no","daily"
553,22,"male","daily","never","no","never"
555,41,"male","monthly","never","no","less"
556,43,"female","daily","never","no","never"
557,25,"male","weekly","never","no","less"
558,33,"male","daily","weekly","no","daily"
559,20,"male","daily","never","no","never"
564,23,"male","daily","monthly","no","weekly"
566,24,"male","daily","never","no","less"
567,19,"male","daily","never","no","less"
568,52,"female","daily","less","no","less"
570,,"female","monthly","less","no","less"
571,25,"male","daily","daily","no","daily"
572,25,"male","daily","less","no","weekly"
574,18,"female","weekly","never","no","monthly"
576,22,"female","daily","daily","no","weekly"
577,22,"female","daily","less","no","less"
578,37,"female","daily","never","no","monthly"
579,19,"male","weekly","less","no","less"
580,20,"female","daily","never","no","less"
583,23,"male","daily","less","no","weekly"
586,22,"male","daily","monthly","no","monthly"
589,28,"male","daily","never","no","weekly"
590,25,"male","daily","weekly",,"daily"
591,24,"female","weekly","monthly","no","weekly"
592,18,"female","weekly","less","no","less"
598,23,"male","weekly","never","no","less"
599,28,"female","weekly","never","no","less"
600,54,"female","daily","weekly","no","monthly"
601,23,"female","weekly","never","no","less"
602,19,"male","daily","monthly","no","weekly"
604,18,"male","daily","monthly","no","monthly"
605,23,"male","daily","less","no","less"
607,26,"male","daily","never","no","less"
608,28,"male","daily","never","no","less"
609,21,"female","daily","less","no","monthly"
610,20,"male","daily","monthly","no","daily"
613,19,"male","daily","daily","no","daily"
614,34,"male","less","never","no","never"
616,23,"male","daily","never","yes","weekly"
618,40,"female","weekly","never","no","weekly"
620,29,"female","weekly","never","no","never"
622,30,"male","weekly","never","no","less"
625,25,"female","daily","never","no","daily"
626,36,"male","weekly","never","no","less"
629,20,"male","daily","never","no","monthly"
632,21,"male","weekly","less","no","monthly"
633,33,"male","daily","daily","no","daily"
637,35,"male","daily","less","no","monthly"
639,22,"male","daily","monthly","no","monthly"
642,21,"male","daily","never","no","less"
643,30,"male","daily","never","no","less"
645,45,"female","weekly","never","no","monthly"
646,21,"female","daily","never","no","less"
647,27,"female","weekly","never","no","less"
649,32,,"weekly","never","no","never"
651,19,"female","weekly","never","no","less"
652,30,"male","weekly","never","no","never"
657,23,"female","daily","less","no","monthly"
660,22,"male","daily","less","no","monthly"
661,28,"female","weekly","never","no","weekly"
662,21,"male","daily","daily","no","weekly"
668,38,"male","daily","monthly","no","monthly"
670,23,"male","daily","never","no","monthly"
671,44,"female","weekly","less","no","less"
673,16,"male","daily","daily","no","daily"
675,25,"male","daily","less","no","less"
676,20,"male",,,,
678,26,"male","daily","never","no","less"
679,22,"male","daily","less","no","monthly"
680,18,"male","daily","never","no","less"
681,45,"male","daily","less","no","less"
683,27,"female","monthly","never","no","less"
686,14,"female","weekly","never","no","less"
687,15,"male","weekly","monthly","no","less"
689,23,"female","daily","never","no","monthly"
690,19,"female","weekly","never","no","weekly"
694,36,"male","less","never","no","less"
697,54,"male","less","less","no","less"
698,46,"male","daily","daily","no","weekly"
700,27,"male","weekly","monthly","no","monthly"
704,19,"male","monthly","never","no","less"
705,18,"female","weekly","never","no","never"
709,20,"male","monthly","never","no","less"
712,32,"male","weekly","monthly","no","monthly"
715,22,"male","daily","less","no","weekly"
716,28,"female","daily","weekly","no","weekly"
718,19,"male","weekly","less","no","monthly"
719,31,"female","daily","less","no","weekly"
720,22,"female","weekly","monthly","no","weekly"
721,,,"daily",,,"weekly"
724,27,"male","monthly","never","no","less"
726,24,,"daily","never","no","monthly"
727,19,"male","weekly","less","no","less"
731,33,"male","daily","monthly","no","monthly"
732,18,"male","daily","never","no","less"
738,31,"male","daily","never","no","less"
740,18,"male","weekly","monthly","no","monthly"
741,23,"female","weekly","less","no","less"
742,18,"male","weekly","never","no","less"
743,26,"female","monthly","never","no","less"
744,31,"male","weekly","less","no","monthly"
745,37,"female","less","never","yes","less"
746,21,"male","weekly","monthly","no","monthly"
747,47,"male","daily","weekly","no","weekly"
748,38,"male","weekly","never","no","less"
751,25,"female","daily","never","no","monthly"
752,19,"male","monthly","never","no","less"
